algorithm,is_baseline,instance_id,size,power_pressure_class,repetition,makespan,best_known_makespan,best_naive_makespan,rpd,hit_bks,within_0_1pct,reached_0_1pct,time_to_0_1pct_s,evaluations_to_0_1pct,within_1pct,reached_1pct,time_to_1pct_s,evaluations_to_1pct,execution_time_s,time_overrun_s,solution_count,solutions_per_second,auc_rpd_time,termination_reason,hit_time_limit,profile_id,status
HPSO,False,n0100_i04,100,low,5,475.8206653952554,475.1972650401108,480.28427364604727,0.13118769845865808,False,False,False,,,True,True,0.0026802000356838107,1.0,150.00041330000386,0.0004133000038564205,380420,2536.126345459811,0.1401791895087535,time_limit,True,run_b9ece1fb,ok
LPT,True,n0100_i04,100,low,0,480.28427364604727,475.1972650401108,480.28427364604727,1.0705046051784624,False,False,False,,,False,False,,,0.0005088999168947339,0.0,1,1965.0229186554382,,completed,False,run_b9ece1fb,ok
SIP,True,n0100_i04,100,low,0,500.07198974430673,475.1972650401108,480.28427364604727,5.234610241726941,False,False,False,,,False,False,,,0.00031949998810887337,0.0,1,3129.8905703221444,,completed,False,run_b9ece1fb,ok
TS,False,n0100_i04,100,low,1,475.35913620164064,475.1972650401108,480.28427364604727,0.034063992669696036,False,True,True,10.678083300008439,22863.0,True,True,0.0003146999515593052,1.0,150.00034599995706,0.000345999957062304,475077,3167.172694389225,0.04944990665639939,time_limit,True,run_b9ece1fb,ok
TS,False,n0100_i04,100,low,2,475.1972650401108,475.1972650401108,480.28427364604727,0.0,True,True,True,9.063853599946015,48372.0,True,True,0.00021199998445808887,1.0,150.0003111999249,0.0003111999249085784,813214,5421.415419039525,0.04374957926804536,time_limit,True,run_b9ece1fb,ok
TS,False,n0100_i04,100,low,3,475.49350174388303,475.1972650401108,480.28427364604727,0.062339732478731036,False,True,True,8.644299700041302,49076.0,True,True,0.00019020005129277706,1.0,150.0005718000466,0.0005718000466004014,718137,4787.561749813122,0.07060442283615523,time_limit,True,run_b9ece1fb,ok
TS,False,n0100_i04,100,low,4,475.7248823818496,475.1972650401108,480.28427364604727,0.11103122441041635,False,False,False,,,True,True,0.0003144999500364065,1.0,150.00045219995081,0.00045219995081424713,468596,3123.9639156244734,0.11722167677884421,time_limit,True,run_b9ece1fb,ok
TS,False,n0100_i04,100,low,5,475.33054351980434,475.1972650401108,480.28427364604727,0.02804697953855197,False,True,True,6.153226200025529,20451.0,True,True,0.0003117000451311469,1.0,150.00049070001114,0.0004907000111415982,478561,3190.3962298168967,0.04376226661585454,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i05,100,medium,1,519.2931903077837,517.9557019322892,526.3210253429138,0.25822447180421054,False,False,False,,,True,True,1.116292099992279,7499.0,150.00042559999565,0.00042559999565128237,990582,6603.861262644502,0.32781717475042754,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i05,100,medium,2,518.9620735025192,517.9557019322892,526.3210253429138,0.19429684169429037,False,False,False,,,True,True,0.4974376000027405,3366.0,150.0003706000134,0.00037060001341160387,984689,6564.577114450889,0.26505425951473865,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i05,100,medium,3,518.9761847599874,517.9557019322892,526.3210253429138,0.1970212556578012,False,False,False,,,True,True,0.723633499990683,4526.0,150.0004181999975,0.00041819999751169235,978668,6524.435143208262,0.26509637266414027,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i05,100,medium,4,518.432015016323,517.9557019322892,526.3210253429138,0.09196019703168704,False,True,True,132.38522670000384,858675.0,True,True,0.6545217000093544,4366.0,150.000472300002,0.00047230000200215727,975830,6505.512849641787,0.18619892820610914,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i05,100,medium,5,519.34025253415,517.9557019322892,526.3210253429138,0.26731062071437955,False,False,False,,,True,True,0.9009804999950575,6171.0,150.00034679999226,0.00034679999225772917,994458,6629.70467212314,0.33419579829433055,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i05,100,medium,1,521.4463454857656,517.9557019322892,526.3210253429138,0.6739270444275773,False,False,False,,,True,True,9.489040500000556,5605.0,150.00028459999885,0.0002845999988494441,87430,582.8655607764139,0.8412388411117576,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i05,100,medium,2,522.4658602149733,517.9557019322892,526.3210253429138,0.8707613925010277,False,False,False,,,True,True,6.826202700001886,4084.0,150.0021452000001,0.0021452000000863336,87774,585.1516315514663,0.9044627173500178,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i05,100,medium,3,522.107498294038,517.9557019322892,526.3210253429138,0.8015736377184494,False,False,False,,,True,True,27.347981300001265,15842.0,150.00034750000123,0.00034750000122585334,88116,587.4386391004813,0.8896561757916343,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i05,100,medium,4,522.1903006417583,517.9557019322892,526.3210253429138,0.8175600140458843,False,False,False,,,True,True,14.592385600000853,8720.0,150.00137480000194,0.0013748000019404572,89516,596.7678637569317,0.8482023938194662,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i05,100,medium,5,522.3229040866103,517.9557019322892,526.3210253429138,0.8431613240338353,False,False,False,,,True,True,9.908924900002603,5934.0,150.00111260000267,0.0011126000026706606,88989,593.2555996254551,0.9016465849534908,time_limit,True,run_b9ece1fb,ok
BRKGA-R-LS,False,n0100_i05,100,medium,1,519.7189543354124,517.9557019322892,526.3210253429138,0.3404253291440069,False,False,False,,,True,True,4.5833101000171155,19507.0,150.00052609993145,0.000526099931448698,571045,3806.9533144141483,0.40816042403705294,time_limit,True,run_b9ece1fb,ok
BRKGA-R-LS,False,n0100_i05,100,medium,2,519.5413874538264,517.9557019322892,526.3210253429138,0.30614307664179774,False,False,False,,,True,True,4.61019140004646,19507.0,150.00056289997883,0.0005628999788314104,962838,6418.89591202418,0.34850320457685113,time_limit,True,run_b9ece1fb,ok
