algorithm,instance_id,size,power_pressure_class,repetition,checkpoint_s,best_result_time_s,solution_count,makespan,rpd,has_solution,hit_bks,within_0_1pct,within_1pct,beats_or_ties_naive,strictly_beats_naive
TS,n0020_i01,20,medium,5,5.0,0.17422610003268346,3488,75.47004815166254,0.7050661421974415,True,False,False,True,True,True
TS,n0020_i01,20,medium,5,15.0,7.082465799991041,50908,75.107770326592,0.22165301037772908,True,False,False,True,True,True
TS,n0020_i01,20,medium,5,30.0,23.594998400018085,369157,75.05611638915823,0.15272747881692655,True,False,False,True,True,True
TS,n0020_i01,20,medium,5,60.0,41.550048500008415,719024,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,5,120.0,41.550048500008415,719024,74.94165988143776,0.0,True,True,True,True,True,True
TS,n0020_i01,20,medium,5,150.0,41.550048500008415,719024,74.94165988143776,0.0,True,True,True,True,True,True
2PGA,n0020_i02,20,low,1,1.0,0.0002558999985922128,1,83.49083195052657,0.0,True,True,True,True,True,False
2PGA,n0020_i02,20,low,1,5.0,0.0002558999985922128,1,83.49083195052657,0.0,True,True,True,True,True,False
2PGA,n0020_i02,20,low,1,15.0,0.0002558999985922128,1,83.49083195052657,0.0,True,True,True,True,True,False
2PGA,n0020_i02,20,low,1,30.0,0.0002558999985922128,1,83.49083195052657,0.0,True,True,True,True,True,False
